comment_id,text,cluster_id,umap_silhouette,silhouette,silhouette_score,centroid,centroid_score,nearest,nearest_score
Acsv-1_0,苺,1_3,0.4169951015155611,0.4169951015155611,4,0.2626136012460479,5,1.3639712941300535,3
Acsv-1_0,苺,2_8,0.4169951015155611,0.4169951015155611,4,0.2626136012460479,5,1.3639712941300535,3
Acsv-2_0,葡萄,1_3,0.2957345252666394,0.2957345252666394,4,0.9515781087805955,4,1.5781721468455083,4
Acsv-2_0,葡萄,2_2,0.2957345252666394,0.2957345252666394,4,0.9515781087805955,4,1.5781721468455083,4
Acsv-3_0,マンゴー,1_3,0.3029117426063355,0.3029117426063355,4,0.7287256276977843,4,1.392573052304007,4
Acsv-3_0,マンゴー,2_8,0.3029117426063355,0.3029117426063355,4,0.7287256276977843,4,1.392573052304007,4
Acsv-4_0,メロン,1_3,-0.09323092394682762,-0.09323092394682762,2,1.2989510965012392,2,1.2743218733639259,2
Acsv-4_0,メロン,2_4,-0.09323092394682762,-0.09323092394682762,2,1.2989510965012392,2,1.2743218733639259,2
Acsv-5_0,バナナ,1_3,0.16214706993584502,0.16214706993584502,3,1.0250235796080058,3,1.4382379610267313,3
Acsv-5_0,バナナ,2_4,0.16214706993584502,0.16214706993584502,3,1.0250235796080058,3,1.4382379610267313,3
Acsv-6_0,林檎,1_3,0.3680607952025608,0.3680607952025608,4,1.2412039204439569,2,2.1103591688094623,5
Acsv-6_0,林檎,2_2,0.3680607952025608,0.3680607952025608,4,1.2412039204439569,2,2.1103591688094623,5
Acsv-7_0,パイナップル,1_3,0.5097714078216259,0.5097714078216259,5,0.6614756849950547,3,1.9254479116668466,5
Acsv-7_0,パイナップル,2_2,0.5097714078216259,0.5097714078216259,5,0.6614756849950547,3,1.9254479116668466,5
Acsv-8_0,西瓜,1_3,0.5068292150547892,0.5068292150547892,5,0.5336837963173592,5,1.7637250280924197,5
Acsv-8_0,西瓜,2_2,0.5068292150547892,0.5068292150547892,5,0.5336837963173592,5,1.7637250280924197,5
Acsv-9_0,レモン,1_3,0.3453878713076051,0.3453878713076051,4,1.2024660109053082,2,1.9819611510223993,5
Acsv-9_0,レモン,2_2,0.3453878713076051,0.3453878713076051,4,1.2024660109053082,2,1.9819611510223993,5
Acsv-10_0,さくらんぼ,1_3,0.4182893861769969,0.4182893861769969,4,0.5990199389914542,4,1.6253149801642652,4
Acsv-10_0,さくらんぼ,2_15,0.4182893861769969,0.4182893861769969,4,0.5990199389914542,4,1.6253149801642652,4
Acsv-11_0,キウイフルーツ,1_3,0.44695968257918467,0.44695968257918467,4,1.079934390069444,2,2.2272506300944572,5
Acsv-11_0,キウイフルーツ,2_2,0.44695968257918467,0.44695968257918467,4,1.079934390069444,2,2.2272506300944572,5
Acsv-12_0,人参,1_3,0.20895094197342692,0.20895094197342692,3,0.6349989196718943,4,1.2469880356298926,2
Acsv-12_0,人参,2_15,0.20895094197342692,0.20895094197342692,3,0.6349989196718943,4,1.2469880356298926,2
Acsv-13_0,茄子,1_3,0.4594985573463467,0.4594985573463467,4,0.43908187603792903,5,1.5342794689029946,3
Acsv-13_0,茄子,2_8,0.4594985573463467,0.4594985573463467,4,0.43908187603792903,5,1.5342794689029946,3
Acsv-14_0,トマト,1_5,0.36037018609494803,0.36037018609494803,4,0.47264622442135906,5,1.1351074319872168,3
Acsv-14_0,トマト,2_6,0.36037018609494803,0.36037018609494803,4,0.47264622442135906,5,1.1351074319872168,3
Acsv-15_0,ニンニク,1_3,0.5389550759284569,0.5389550759284569,5,0.5562485182492852,4,2.0927667338226725,5
Acsv-15_0,ニンニク,2_7,0.5389550759284569,0.5389550759284569,5,0.5562485182492852,4,2.0927667338226725,5
Acsv-16_0,玉ねぎ,1_3,0.5492901069910993,0.5492901069910993,5,0.30746010965254394,5,1.8555883461757896,5
Acsv-16_0,玉ねぎ,2_7,0.5492901069910993,0.5492901069910993,5,0.30746010965254394,5,1.8555883461757896,5
Acsv-17_0,じゃがいも,1_3,0.11684975751120996,0.11684975751120996,3,0.5704642157360053,4,1.0204723453587907,2
Acsv-17_0,じゃがいも,2_8,0.11684975751120996,0.11684975751120996,3,0.5704642157360053,4,1.0204723453587907,2
Acsv-18_0,とうもろこし,1_3,0.42316554993472516,0.42316554993472516,4,0.5725383555128363,5,1.6148483546767107,3
